tm,pm10,pm25,o3,no2,co,so2,,,,,,
2024-02-23:24,좋음,10,좋음,6,보통,0.0387,좋음,0.0077,좋음,0.28,좋음,0.0020
2024-02-23:23,좋음,14,좋음,8,보통,0.0368,좋음,0.0099,좋음,0.31,좋음,0.0021
2024-02-23:22,좋음,13,좋음,8,보통,0.0342,좋음,0.0124,좋음,0.34,좋음,0.0020
2024-02-23:21,좋음,16,좋음,10,보통,0.0361,좋음,0.0108,좋음,0.33,좋음,0.0019
2024-02-23:20,좋음,18,좋음,11,보통,0.0356,좋음,0.0113,좋음,0.34,좋음,0.0022
2024-02-23:19,좋음,17,좋음,12,보통,0.0355,좋음,0.0117,좋음,0.36,좋음,0.0022
2024-02-23:18,좋음,5,좋음,1,보통,0.0357,좋음,0.0117,좋음,0.33,좋음,0.0021
2024-02-23:17,좋음,8,좋음,7,보통,0.0381,좋음,0.0109,좋음,0.31,좋음,0.0022
2024-02-23:16,좋음,11,좋음,9,보통,0.0396,좋음,0.0098,좋음,0.30,좋음,0.0023
2024-02-23:15,좋음,9,좋음,7,보통,0.0409,좋음,0.0088,좋음,0.30,좋음,0.0021
2024-02-23:14,좋음,5,좋음,4,보통,0.0409,좋음,0.0083,좋음,0.29,좋음,0.0019
2024-02-23:13,좋음,4,,,보통,0.0397,좋음,0.0083,좋음,0.27,좋음,0.0020
2024-02-23:12,좋음,2,좋음,2,보통,0.0385,좋음,0.0084,좋음,0.28,좋음,0.0021
2024-02-23:11,좋음,4,좋음,0,보통,0.0375,좋음,0.0093,좋음,0.28,좋음,0.0021
2024-02-23:10,좋음,5,좋음,3,보통,0.0319,좋음,0.0154,좋음,0.31,좋음,0.0023
2024-02-23:09,좋음,6,좋음,4,좋음,0.0268,좋음,0.0190,좋음,0.34,좋음,0.0021
2024-02-23:08,좋음,4,좋음,3,보통,0.0314,좋음,0.0150,좋음,0.32,좋음,0.0021
2024-02-23:07,좋음,6,좋음,6,보통,0.0335,좋음,0.0119,좋음,0.30,좋음,0.0023
2024-02-23:06,좋음,8,좋음,6,보통,0.0368,좋음,0.0086,좋음,0.30,좋음,0.0023
2024-02-23:05,좋음,11,좋음,5,보통,0.0380,좋음,0.0081,좋음,0.30,좋음,0.0020
2024-02-23:04,좋음,11,좋음,8,보통,0.0375,좋음,0.0088,좋음,0.30,좋음,0.0020
2024-02-23:03,좋음,12,좋음,7,보통,0.0382,좋음,0.0082,좋음,0.30,좋음,0.0022
2024-02-23:02,좋음,12,좋음,6,보통,0.0380,좋음,0.0084,좋음,0.31,좋음,0.0019
2024-02-23:01,좋음,10,좋음,7,보통,0.0382,좋음,0.0085,좋음,0.31,좋음,0.0020
2024-02-22:24,좋음,6,좋음,5,보통,0.0371,좋음,0.0094,좋음,0.32,좋음,0.0020
2024-02-22:23,좋음,6,좋음,5,보통,0.0360,좋음,0.0107,좋음,0.34,좋음,0.0022
2024-02-22:22,좋음,8,좋음,5,보통,0.0339,좋음,0.0138,좋음,0.37,좋음,0.0022
2024-02-22:21,좋음,13,좋음,8,보통,0.0344,좋음,0.0131,좋음,0.39,좋음,0.0024
2024-02-22:20,좋음,12,좋음,8,보통,0.0340,좋음,0.0139,좋음,0.37,좋음,0.0023
2024-02-22:19,좋음,8,좋음,5,보통,0.0338,좋음,0.0145,좋음,0.36,좋음,0.0023
2024-02-22:18,좋음,8,좋음,6,보통,0.0347,좋음,0.0127,좋음,0.32,좋음,0.0022
2024-02-22:17,좋음,6,,,보통,0.0359,좋음,0.0122,좋음,0.33,좋음,0.0024
2024-02-22:16,좋음,5,,,보통,0.0363,좋음,0.0117,좋음,0.32,좋음,0.0022
2024-02-22:15,좋음,5,좋음,3,보통,0.0376,좋음,0.0102,좋음,0.31,좋음,0.0022
2024-02-22:14,좋음,3,좋음,3,보통,0.0361,좋음,0.0118,좋음,0.32,좋음,0.0023
2024-02-22:13,좋음,4,좋음,2,보통,0.0375,좋음,0.0105,좋음,0.31,좋음,0.0022
2024-02-22:12,좋음,2,,,보통,0.0364,좋음,0.0113,좋음,0.31,좋음,0.0023
2024-02-22:11,좋음,2,좋음,1,보통,0.0362,좋음,0.0110,좋음,0.31,좋음,0.0022
2024-02-22:10,,,좋음,2,보통,0.0342,좋음,0.0132,좋음,0.32,좋음,0.0021
2024-02-22:09,,,좋음,0,보통,0.0349,좋음,0.0131,좋음,0.33,좋음,0.0023
2024-02-22:08,좋음,1,좋음,0,보통,0.0326,좋음,0.0162,좋음,0.34,좋음,0.0023
2024-02-22:07,좋음,1,좋음,1,보통,0.0358,좋음,0.0131,좋음,0.34,좋음,0.0021
2024-02-22:06,,,좋음,0,보통,0.0379,좋음,0.0099,좋음,0.34,좋음,0.0023
2024-02-22:05,,,좋음,3,보통,0.0377,좋음,0.0103,좋음,0.34,좋음,0.0022
2024-02-22:04,좋음,1,좋음,1,보통,0.0380,좋음,0.0097,좋음,0.35,좋음,0.0020
2024-02-22:03,,,좋음,1,보통,0.0380,좋음,0.0098,좋음,0.34,좋음,0.0021
2024-02-22:02,좋음,1,좋음,1,보통,0.0358,좋음,0.0109,좋음,0.34,좋음,0.0022
2024-02-22:01,,,,,보통,0.0372,좋음,0.0114,좋음,0.31,좋음,0.0024
2024-02-21:24,좋음,1,,,보통,0.0364,좋음,0.0123,좋음,0.31,좋음,0.0024
2024-02-21:23,,,좋음,2,보통,0.0351,좋음,0.0132,좋음,0.32,좋음,0.0024
2024-02-21:22,좋음,1,좋음,1,보통,0.0349,좋음,0.0138,좋음,0.32,좋음,0.0025
2024-02-21:21,,,좋음,1,보통,0.0348,좋음,0.0143,좋음,0.32,좋음,0.0023
2024-02-21:20,,,좋음,4,보통,0.0331,좋음,0.0160,좋음,0.33,좋음,0.0023
2024-02-21:19,좋음,3,,,보통,0.0330,좋음,0.0152,좋음,0.32,좋음,0.0022
2024-02-21:18,좋음,10,좋음,6,보통,0.0326,좋음,0.0163,좋음,0.32,좋음,0.0022
2024-02-21:17,,,,,,,,,,,,
2024-02-21:16,,,좋음,1,보통,0.0364,좋음,0.0129,좋음,0.28,좋음,0.0023
2024-02-21:15,,,좋음,5,보통,0.0364,좋음,0.0136,좋음,0.30,좋음,0.0027
2024-02-21:14,좋음,2,좋음,2,보통,0.0362,좋음,0.0144,좋음,0.30,좋음,0.0026
2024-02-21:13,좋음,3,좋음,2,보통,0.0359,좋음,0.0139,좋음,0.31,좋음,0.0026
2024-02-21:12,좋음,1,좋음,1,보통,0.0314,좋음,0.0171,좋음,0.31,좋음,0.0027
2024-02-21:11,좋음,5,좋음,1,좋음,0.0277,좋음,0.0211,좋음,0.31,좋음,0.0023
2024-02-21:10,좋음,3,좋음,1,좋음,0.0279,좋음,0.0213,좋음,0.32,좋음,0.0024
2024-02-21:09,좋음,1,,,좋음,0.0229,좋음,0.0249,좋음,0.34,좋음,0.0025
2024-02-21:08,좋음,1,,,좋음,0.0260,좋음,0.0226,좋음,0.32,좋음,0.0023
2024-02-21:07,좋음,1,,,보통,0.0312,좋음,0.0172,좋음,0.32,좋음,0.0026
2024-02-21:06,,,좋음,2,보통,0.0312,좋음,0.0161,좋음,0.29,좋음,0.0025
2024-02-21:05,좋음,1,좋음,1,보통,0.0353,좋음,0.0120,좋음,0.29,좋음,0.0024
2024-02-21:04,좋음,1,좋음,1,보통,0.0337,좋음,0.0126,좋음,0.29,좋음,0.0024
2024-02-21:03,좋음,1,,,보통,0.0335,좋음,0.0128,좋음,0.30,좋음,0.0026
2024-02-21:02,,,좋음,2,보통,0.0359,좋음,0.0118,좋음,0.29,좋음,0.0024
2024-02-21:01,좋음,2,좋음,2,보통,0.0371,좋음,0.0112,좋음,0.29,좋음,0.0024
2024-02-20:24,,,좋음,2,보통,0.0368,좋음,0.0121,좋음,0.30,좋음,0.0024
2024-02-20:23,,,좋음,3,보통,0.0347,좋음,0.0146,좋음,0.33,좋음,0.0025
2024-02-20:22,좋음,2,,,보통,0.0348,좋음,0.0135,좋음,0.31,좋음,0.0026
2024-02-20:21,좋음,3,좋음,3,보통,0.0339,좋음,0.0149,좋음,0.33,좋음,0.0026
2024-02-20:20,좋음,3,,,보통,0.0346,좋음,0.0151,좋음,0.33,좋음,0.0027
2024-02-20:19,좋음,7,좋음,3,보통,0.0322,좋음,0.0160,좋음,0.31,좋음,0.0024
2024-02-20:18,좋음,13,좋음,7,보통,0.0329,좋음,0.0157,좋음,0.30,좋음,0.0026
2024-02-20:17,좋음,10,좋음,5,보통,0.0334,좋음,0.0161,좋음,0.30,좋음,0.0028
2024-02-20:16,좋음,8,좋음,6,보통,0.0361,좋음,0.0144,좋음,0.29,좋음,0.0026
2024-02-20:15,좋음,6,좋음,4,보통,0.0366,좋음,0.0137,좋음,0.29,좋음,0.0026
2024-02-20:14,좋음,6,좋음,2,보통,0.0369,좋음,0.0137,좋음,0.30,좋음,0.0027
2024-02-20:13,좋음,7,좋음,2,보통,0.0363,좋음,0.0144,좋음,0.31,좋음,0.0026
2024-02-20:12,좋음,9,좋음,4,보통,0.0344,좋음,0.0163,좋음,0.30,좋음,0.0026
2024-02-20:11,좋음,10,좋음,3,보통,0.0334,좋음,0.0169,좋음,0.32,좋음,0.0027
2024-02-20:10,좋음,8,좋음,3,좋음,0.0278,좋음,0.0211,좋음,0.37,좋음,0.0025
2024-02-20:09,좋음,7,좋음,3,좋음,0.0171,좋음,0.0278,좋음,0.43,좋음,0.0026
2024-02-20:08,좋음,8,좋음,5,좋음,0.0203,좋음,0.0228,좋음,0.47,좋음,0.0028
2024-02-20:07,좋음,13,좋음,12,좋음,0.0211,좋음,0.0217,좋음,0.50,좋음,0.0029
2024-02-20:06,좋음,10,좋음,8,좋음,0.0174,좋음,0.0208,좋음,0.43,좋음,0.0028
2024-02-20:05,좋음,7,좋음,6,좋음,0.0248,좋음,0.0163,좋음,0.38,좋음,0.0028
2024-02-20:04,좋음,7,좋음,5,좋음,0.0204,좋음,0.0197,좋음,0.40,좋음,0.0027
2024-02-20:03,좋음,11,좋음,7,좋음,0.0191,좋음,0.0217,좋음,0.45,좋음,0.0030
2024-02-20:02,좋음,23,좋음,15,좋음,0.0097,보통,0.0307,좋음,0.59,좋음,0.0030
2024-02-20:01,좋음,22,좋음,15,좋음,0.0052,보통,0.0350,좋음,0.71,좋음,0.0031
2024-02-19:24,좋음,27,보통,17,좋음,0.0086,보통,0.0336,좋음,0.66,좋음,0.0033
2024-02-19:23,좋음,28,보통,18,좋음,0.0111,보통,0.0371,좋음,0.71,좋음,0.0034
2024-02-19:22,좋음,29,보통,20,좋음,0.0212,보통,0.0307,좋음,0.65,좋음,0.0031
2024-02-19:21,좋음,29,보통,20,좋음,0.0229,보통,0.0347,좋음,0.62,좋음,0.0032
2024-02-19:20,좋음,23,보통,16,좋음,0.0283,보통,0.0331,좋음,0.61,좋음,0.0033
2024-02-19:19,좋음,24,좋음,14,보통,0.0349,좋음,0.0304,좋음,0.51,좋음,0.0031
2024-02-19:18,좋음,23,보통,16,보통,0.0323,보통,0.0318,좋음,0.47,좋음,0.0030
2024-02-19:17,좋음,20,좋음,10,보통,0.0343,좋음,0.0300,좋음,0.43,좋음,0.0033
2024-02-19:16,좋음,20,좋음,15,보통,0.0335,좋음,0.0280,좋음,0.41,좋음,0.0031
2024-02-19:15,좋음,19,좋음,12,보통,0.0354,좋음,0.0243,좋음,0.43,좋음,0.0033
2024-02-19:14,좋음,20,좋음,9,좋음,0.0297,좋음,0.0268,좋음,0.37,좋음,0.0031
2024-02-19:13,좋음,16,좋음,11,좋음,0.0287,좋음,0.0268,좋음,0.36,좋음,0.0030
2024-02-19:12,좋음,14,좋음,6,보통,0.0324,좋음,0.0227,좋음,0.32,좋음,0.0028
2024-02-19:11,좋음,11,좋음,5,보통,0.0326,좋음,0.0223,좋음,0.32,좋음,0.0030
2024-02-19:10,좋음,11,좋음,5,좋음,0.0106,보통,0.0481,좋음,0.56,좋음,0.0033
